Mon Aug 22 12:09:43 2022    output.dat

         3616120 function calls (3588083 primitive calls) in 120.899 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      655    0.007    0.000    0.009    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/arraysetops.py:323(_unique1d)
      655    0.001    0.000    0.012    0.000 <__array_function__ internals>:177(unique)
      620    0.002    0.000    0.002    0.000 {built-in method numpy.arange}
      608    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
      576    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/stride_tricks.py:345(<genexpr>)
      574    0.001    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:57(comment)
      574    0.000    0.000    0.001    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:73(newline)
      572    0.001    0.000    0.002    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/codeblock.py:3(__init__)
      568    0.000    0.000    0.004    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/core/systemgraph.py:890(get_operation_sparsity)
      566    0.004    0.000    0.006    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/lib/twodim_base.py:162(eye)
      535    0.000    0.000    0.001    0.000 {method 'view' of 'numpy.ndarray' objects}
      508    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/operation_base.py:201(get_lang_input)
      498    0.007    0.000    0.091    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_coo.py:371(tocsr)
      452    0.000    0.000    0.000    0.000 {method 'index' of 'list' objects}
      423    0.001    0.000    0.003    0.000 <__array_function__ internals>:177(atleast_2d)
      423    0.000    0.000    0.000    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:77(_atleast_2d_dispatcher)
      423    0.002    0.000    0.002    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/numpy/core/shape_base.py:81(atleast_2d)
      422    0.001    0.000    0.001    0.000 {built-in method scipy.sparse._sparsetools.expandptr}
      422    0.003    0.000    0.050    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:1034(tocoo)
      421    0.009    0.000    0.067    0.000 /home/jyan_linux/.local/lib/python3.8/site-packages/scipy/sparse/_compressed.py:365(multiply)
   402/22    0.004    0.000  120.995    5.500 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/custom_explicit/custom_explicit.py:146(solve)
      384    0.000    0.000    0.000    0.000 /home/jyan_linux/Downloads/Software/python_csdl_backend/python_csdl_backend/operations/operation_base.py:250(determine_sparse_default_elementwise)
